,driverId,raceId,temp,Track Length (km),Turns,Direction,Circuit Type,grid,circuit_lap_count,avg_lap_time_last5,avg_position_last5,avg_stop_last5,avg_fastestRank_last5,avg_fastestLap_last5,stop
3794,842,1053,9.2,4.909,19,Anti clockwise,Race,5.0,63,97650.36456837777,10.6,2.0,11.4,49.6,4
3812,842,1054,16.3,4.653,15,Clockwise,Race,9.0,66,95904.71828600518,10.8,2.4,10.0,50.4,3
3832,842,1055,17.1,4.657,14,Clockwise,Race,12.0,66,100688.89111777113,10.6,2.6,10.2,52.8,2
3850,842,1056,18.0,3.337,19,Clockwise,Street,6.0,78,96625.12104784104,11.0,2.8,8.8,55.0,1
3867,842,1057,21.5,6.003,20,Anti clockwise,Street,4.0,51,93844.28844710844,10.0,2.6,9.4,60.0,3
3906,842,1059,23.3,5.842,15,Clockwise,Race,6.0,53,105054.07562659562,7.2,2.6,9.6,59.2,1
3925,842,1060,18.2,4.318,10,Clockwise,Race,6.0,71,101622.86927738928,7.2,2.0,10.0,57.6,2
3944,842,1061,23.5,5.891,18,Clockwise,Race,11.0,52,98561.05869266883,7.0,1.8,8.6,55.4,3
3961,842,1062,22.6,4.381,14,Clockwise,Race,5.0,70,108897.46715420729,7.2,2.0,7.6,53.0,4
3980,842,1064,16.4,4.259,14,Clockwise,Race,4.0,72,115098.97975493988,7.0,2.6,5.0,52.8,1
4018,842,1066,14.8,5.848,18,Clockwise,Road,11.0,53,98910.91684414177,7.2,2.2,5.8,55.4,2
4037,842,1067,17.5,5.338,14,Anti clockwise,Race,4.0,58,99895.05145952638,8.4,2.4,4.4,53.6,1
4057,842,1069,24.3,5.513,20,Anti clockwise,Race,8.0,56,104533.49725845791,7.8,2.2,5.8,52.8,1
4077,842,1070,15.3,4.304,17,Clockwise,Race,5.0,71,98699.87912658977,9.6,1.8,8.8,44.8,1
4095,842,1071,17.9,4.309,15,Anti clockwise,Race,7.0,71,93990.8830300103,9.4,1.2,10.0,44.0,4
4115,842,1072,26.4,6.174,27,Anti clockwise,Street,6.0,50,94579.90689318939,10.0,1.8,9.6,43.2,2
4134,842,1073,23.7,5.281,16,Anti clockwise,Race,12.0,58,103978.29627780477,8.6,1.8,10.6,45.4,2
4151,842,1074,21.6,5.412,15,Clockwise,Race,10.0,57,103686.85145021854,8.4,2.0,9.6,45.2,2
4171,842,1075,26.8,6.174,27,Anti clockwise,Street,9.0,50,102028.17028138739,8.4,2.2,9.4,49.6,1
4186,842,1076,20.8,5.278,14,Clockwise,Street,11.0,58,105663.79952082402,9.2,2.2,10.0,44.8,1
4204,842,1077,12.6,4.909,19,Anti clockwise,Race,17.0,63,108238.44661442007,9.6,1.6,11.0,44.6,1
4224,842,1078,27.7,5.412,19,Anti clockwise,Street,7.0,57,95650.76132409748,10.8,1.4,12.2,42.2,2
4243,842,1079,22.4,4.657,14,Clockwise,Race,14.0,66,97333.25174555343,13.4,1.4,14.8,40.0,3
4262,842,1080,21.9,3.337,19,Clockwise,Street,17.0,64,95273.73027702195,12.0,1.6,13.8,43.4,3
4281,842,1081,23.5,6.003,20,Anti clockwise,Street,6.0,51,96799.00552702196,12.6,2.0,13.8,47.2,1
4300,842,1082,16.0,4.361,13,Clockwise,Street,15.0,70,100819.74257908415,11.8,2.0,14.4,44.6,2
4319,842,1083,15.0,5.891,18,Clockwise,Race,11.0,52,99588.90386940674,12.2,2.2,13.8,49.8,2
4336,842,1084,16.2,4.318,10,Clockwise,Race,14.0,71,123160.67737368024,11.8,2.2,13.2,45.8,2
4356,842,1085,26.0,5.842,15,Clockwise,Race,14.0,53,119628.90286818575,12.2,2.0,14.4,47.8,1
4375,842,1086,19.1,4.381,14,Clockwise,Race,0.0,70,118246.97350497819,12.4,1.6,14.4,46.2,2
4393,842,1087,15.2,7.004,19,Clockwise,Race,0.0,44,113216.52405911288,13.8,1.8,14.0,50.0,2
4413,842,1088,20.3,4.259,14,Clockwise,Race,11.0,72,120409.37405911289,12.8,1.8,14.6,42.8,4
4431,842,1089,13.6,5.793,11,Clockwise,Race,5.0,53,92645.92833261716,11.8,2.2,13.8,52.2,1
4449,842,1091,26.9,4.94,19,Anti clockwise,Street,7.0,59,96322.17825175462,10.4,2.0,13.0,46.0,1
4465,842,1092,16.8,5.807,18,Clockwise,Race,17.0,28,100807.88992428422,10.0,2.0,12.8,46.6,4
4483,842,1093,24.6,5.513,20,Anti clockwise,Race,11.0,56,110480.65379591982,11.2,2.4,12.0,37.6,2
4503,842,1094,19.5,4.304,17,Clockwise,Race,14.0,71,108794.5823673484,12.2,2.4,11.4,43.8,1
4521,842,1095,22.4,4.309,15,Anti clockwise,Race,10.0,71,109628.55204988807,12.2,1.8,10.6,39.2,3
4541,842,1096,28.2,5.281,16,Anti clockwise,Race,17.0,58,108122.35412270231,13.4,2.2,10.2,46.0,1
4560,842,1098,24.1,5.412,15,Clockwise,Race,20.0,57,101553.33354583642,14.2,2.2,12.2,38.0,3
4579,842,1099,25.4,6.174,27,Anti clockwise,Street,9.0,50,94503.74419746551,12.4,2.0,10.6,43.8,1
4599,842,1100,13.1,5.278,14,Clockwise,Street,9.0,58,92067.12962603693,11.4,1.8,10.2,42.8,2
4617,842,1101,19.2,6.003,20,Anti clockwise,Street,17.0,51,100051.48891175122,11.8,2.0,10.0,43.8,2
4636,842,1102,26.1,5.412,19,Anti clockwise,Street,5.0,57,105488.1675640572,11.8,1.8,9.2,40.4,1
4656,842,1104,20.8,3.337,19,Clockwise,Street,7.0,78,105584.47633598703,10.6,1.8,8.8,48.2,2
4676,842,1105,20.8,4.657,14,Clockwise,Race,10.0,66,102456.24205798433,10.2,1.6,9.0,49.6,2
4696,842,1106,15.4,4.361,13,Clockwise,Street,15.0,70,98954.25381556009,10.4,1.8,9.0,47.8,2
4715,842,1107,17.5,4.318,10,Clockwise,Race,9.0,71,90238.07738698865,10.2,1.8,9.4,51.8,3
4733,842,1108,18.5,5.891,18,Clockwise,Race,10.0,52,82689.7452135559,9.4,2.0,9.2,52.0,1
4772,842,1110,14.0,7.004,19,Clockwise,Race,12.0,44,84286.13476351777,11.4,2.0,8.2,49.4,1
4790,842,1111,15.9,4.259,14,Clockwise,Race,12.0,72,90257.26553274853,12.2,1.8,10.0,44.6,5
4809,842,1112,17.5,5.793,11,Clockwise,Race,17.0,51,98072.5481085061,10.8,2.4,9.4,47.4,2
4827,842,1113,29.0,4.94,19,Anti clockwise,Street,12.0,62,99437.94099366017,11.4,2.4,9.0,42.8,1
4846,842,1114,21.6,5.807,18,Clockwise,Race,12.0,53,105575.46943527763,10.6,2.0,10.0,42.4,2
4864,842,1115,33.4,5.419,16,Clockwise,Race,7.0,57,106245.38567809961,9.0,2.2,9.0,41.2,3
4884,842,1116,24.7,5.513,20,Anti clockwise,Race,7.0,56,102072.5909412575,9.2,2.6,8.2,46.0,2
4902,842,1117,18.5,4.304,17,Clockwise,Race,11.0,71,98645.58260792415,9.8,2.0,9.0,44.4,2
4921,842,1118,17.7,4.309,15,Anti clockwise,Race,15.0,71,101877.21801250854,9.0,2.0,10.8,44.2,4
4939,842,1119,17.2,6.201,17,Anti clockwise,Street,4.0,50,101017.75435962349,9.2,2.6,10.6,44.6,1
4958,842,1120,25.4,5.281,16,Anti clockwise,Race,10.0,58,101636.38281245368,9.4,2.4,11.4,44.8,2
4978,842,1121,15.6,5.412,15,Clockwise,Race,20.0,57,101181.14651481302,9.6,2.2,12.6,42.0,3
5015,842,1123,16.7,5.278,14,Clockwise,Street,17.0,58,100351.86437195587,12.0,2.4,12.2,41.6,2
5033,842,1124,18.3,5.807,18,Clockwise,Race,17.0,53,96521.28675890916,12.4,2.4,11.0,43.2,3
5052,842,1125,17.3,5.451,16,Clockwise,Race,15.0,56,103230.03800484633,14.2,2.2,12.0,43.2,3
5072,842,1126,26.4,5.412,19,Anti clockwise,Street,12.0,57,103563.2912905606,14.6,2.6,10.8,43.8,1
